WellId,Well_ColId,Well_RowId,S,T,Z,C,area,centroid-0,centroid-1,max_intensity,mean_intensity,min_intensity,bbox-0,bbox-1,bbox-2,bbox-3
A1,1,1,0,0,0,0,41,284.2439024390244,759.9268292682926,7619.0,6809.0,6071.0,280,754,290,765
A1,1,1,0,0,0,0,134,286.9776119402985,927.0820895522388,4735.0,3778.2985074626868,2748.0,279,922,296,934
A1,1,1,0,0,0,0,73,292.82191780821915,587.068493150685,7512.0,6226.643835616438,4899.0,286,584,301,591
A1,1,1,0,0,0,0,64,295.46875,633.953125,8272.0,6683.078125,5100.0,290,630,302,638
A1,1,1,0,0,0,0,145,298.6,252.0,6819.0,5269.262068965517,3688.0,290,246,308,259
A1,1,1,0,0,0,0,144,295.625,480.0486111111111,5562.0,4417.375,2459.0,290,473,302,489
A1,1,1,0,0,0,0,83,294.5542168674699,962.8313253012049,6585.0,5659.9277108433735,4592.0,290,957,300,970
A1,1,1,0,0,0,0,119,297.15966386554624,506.79831932773106,6336.0,4615.361344537815,2892.0,291,501,304,514
A1,1,1,0,0,0,0,151,297.1920529801325,203.66225165562915,8325.0,6714.543046357616,4236.0,292,194,304,215
A1,1,1,0,0,0,0,127,299.09448818897636,340.8582677165354,5591.0,4325.645669291339,2911.0,294,334,306,348
A1,1,1,0,0,0,0,102,301.3627450980392,297.52941176470586,7184.0,5243.225490196079,3416.0,296,291,308,306
A1,1,1,0,0,0,0,78,304.06410256410254,104.7948717948718,8159.0,6639.7307692307695,4364.0,300,100,309,111
A1,1,1,0,0,0,0,180,306.7388888888889,712.0555555555555,9766.0,6863.111111111111,5022.0,300,704,315,721
A1,1,1,0,0,0,0,192,315.3125,616.7291666666666,8254.0,6080.822916666667,4254.0,306,610,325,624
A1,1,1,0,0,0,0,351,318.1025641025641,833.1282051282051,5148.0,3870.3732193732194,2468.0,306,823,331,844
A1,1,1,0,0,0,0,40,312.725,47.375,12422.0,10319.65,7279.0,308,44,317,53
A1,1,1,0,0,0,0,153,318.5947712418301,895.3006535947712,4572.0,3742.3856209150326,2875.0,312,888,326,905
A1,1,1,0,0,0,0,50,317.88,351.78,10145.0,8040.34,4684.0,314,348,323,356
A1,1,1,0,0,0,0,105,325.14285714285717,44.114285714285714,7661.0,6051.619047619048,4071.0,320,37,331,51
A1,1,1,0,0,0,0,135,333.14814814814815,561.6222222222223,8984.0,7022.311111111111,5203.0,326,557,342,567
A1,1,1,0,0,0,0,123,330.7235772357724,467.5772357723577,9707.0,8207.764227642276,5554.0,326,459,336,477
A1,1,1,0,0,0,0,87,333.1954022988506,808.3678160919541,10420.0,8293.12643678161,6258.0,326,804,341,813
A1,1,1,0,0,0,0,74,332.05405405405406,194.48648648648648,12544.0,10476.72972972973,8684.0,328,189,337,201
A1,1,1,0,0,0,0,126,333.7063492063492,270.484126984127,6349.0,4678.0,2278.0,330,261,339,281
